path,found total,min(found in parent),max(found in parent)
/a/rdf:RDF/pgterms:ebook/marcrel:unk/pgterms:agent/pgterms:alias,12,0,4
/a/rdf:RDF/pgterms:ebook/marcrel:unk/pgterms:agent/pgterms:birthdate,5,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:unk/pgterms:agent/pgterms:deathdate,5,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:unk/pgterms:agent/pgterms:name,10,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:unk/pgterms:agent/pgterms:webpage,7,0,2
/a/rdf:RDF/pgterms:ebook/pgterms:downloads,46172,0,1
/a/rdf:RDF/pgterms:ebook/pgterms:marc010,2544,0,1
/a/rdf:RDF/pgterms:ebook/pgterms:marc020,1,0,1
/a/rdf:RDF/pgterms:ebook/pgterms:marc250,45,0,1
/a/rdf:RDF/pgterms:ebook/pgterms:marc260,318,0,1
/a/rdf:RDF/pgterms:ebook/pgterms:marc300,5,0,1
/a/rdf:RDF/pgterms:ebook/pgterms:marc440,184,0,1
/a/rdf:RDF/pgterms:ebook/pgterms:marc508,150,0,1
/a/rdf:RDF/pgterms:ebook/pgterms:marc520,7,0,1
/a/rdf:RDF/pgterms:ebook/pgterms:marc546,148,0,2
/a/rdf:RDF/pgterms:ebook/pgterms:marc653,1,0,1
/a/rdf:RDF/pgterms:ebook/pgterms:marc901,8766,0,6
/a/rdf:RDF/pgterms:ebook/pgterms:marc902,9,0,1
/a/rdf:RDF/pgterms:ebook/pgterms:marc903,2,0,1
/a/rdf:RDF/pgterms:file,6,0,6
/a/rdf:RDF/pgterms:file/dcterms:extent,6,1,1
/a/rdf:RDF/pgterms:file/dcterms:format,6,1,1
/a/rdf:RDF/pgterms:file/dcterms:format/rdf:Description,6,1,1
/a/rdf:RDF/pgterms:file/dcterms:format/rdf:Description/dcam:memberOf,6,1,1
/a/rdf:RDF/pgterms:file/dcterms:format/rdf:Description/rdf:value,9,1,2
/a/rdf:RDF/pgterms:file/dcterms:isFormatOf,6,1,1
/a/rdf:RDF/pgterms:file/dcterms:modified,6,1,1
/a/rdf:RDF/rdf:Description,33843,0,26
/a/rdf:RDF/rdf:Description/dcterms:description,33843,1,1
